VideoPacketLossRate,pFrameCountDiff,VideoBitRate,AudioBitRate,S10pFrameMeanDiff,aFrameCount,AudioNBFrames,S2pFrameCountDiff,S3pFrameMeanDiff,S1aFrameCountDiff,S9pFrameCountDiff,AudioPacketLossRate,S11pFrameMeanDiff,aFrameCountDiff,S14pFrameMeanDiff,S9pFrameMeanDiff,S27pFrameMeanDiff,S28pFrameCountDiff,S7pFrameCountDiff,S29pFrameCountDiff,S15aFrameCountDiff,S29pFrameMeanDiff,pFrameCount,S1pFrameCountDiff,BPP,S17pFrameMeanDiff,VideoNBFrames,S27pFrameCountDiff,S2pFrameMeanDiff,CC,S18pFrameMeanDiff,ISC,S4pFrameMeanDiff,S14aFrameCountDiff,iFrame3Size,S8pFrameMeanDiff,iFrame3SizeDiff,S16pFrameMeanDiff,S20pFrameMeanDiff,S6pFrameMeanDiff,S14pFrameCountDiff,S21pFrameMeanDiff,S22pFrameMeanDiff,S30pFrameMeanDiff,S0pFrameMeanDiff,S12pFrameMeanDiff,S24pFrameMeanDiff,S13pFrameMeanDiff,S28pFrameMeanDiff,S5pFrameMeanDiff,VideoStartPTS,S7aFrameCountDiff,S8pFrameCountDiff,S23pFrameCountDiff,S29aFrameCountDiff,iFrame0Size,S15pFrameMeanDiff,S19pFrameMeanDiff,S7pFrameMeanDiff,S26pFrameMeanDiff,S23pFrameMeanDiff,iFrame0SizeDiff,AudioDurationTS,S25pFrameMeanDiff,S1pFrameMeanDiff,AudioDuration,VideoDurationTS,S18pFrameCountDiff,iFrame1Size,iFrame1SizeDiff,S28aFrameCountDiff,iFrame4Size,iFrame4SizeDiff,S4aFrameCountDiff,S23aFrameCountDiff,iFrameCount,S12pFrameCountDiff,S2aFrameCountDiff,S11aFrameCountDiff,S26aFrameCountDiff,S22pFrameCountDiff,S9aFrameCountDiff,S11pFrameCountDiff,S6pFrameCountDiff,iFrameCountDiff,iFrame2Size,S5pFrameCountDiff,S21pFrameCountDiff,iFrame2SizeDiff,S20pFrameCountDiff,S19pFrameCountDiff,QP,S10aFrameCountDiff,S15pFrameCountDiff,S24aFrameCountDiff,S3aFrameCountDiff,S25aFrameCountDiff,S13aFrameCountDiff,S20aFrameCountDiff,S30pFrameCountDiff,S30aFrameCountDiff,S16pFrameCountDiff,S12aFrameCountDiff,S16aFrameCountDiff,S17pFrameCountDiff,S25pFrameCountDiff,S26pFrameCountDiff,S5aFrameCountDiff,S8aFrameCountDiff,S6aFrameCountDiff,S13pFrameCountDiff,S4pFrameCountDiff,S17aFrameCountDiff,S10pFrameCountDiff,S18aFrameCountDiff,S0pFrameCountDiff,S24pFrameCountDiff,S3pFrameCountDiff,S21aFrameCountDiff,S22aFrameCountDiff,S27aFrameCountDiff,S19aFrameCountDiff,S0aFrameCountDiff,VideoFrameRate,NR,CIHigh,CILow,MOS
0.13,0.235294118,228242,24404,3.288476963,2145,2145,0,1.210441884,0,-11.11111111,0,-2.042961609,0,2.57445032,2.46664754,0.751072961,10,0,-11.11111111,0,-0.43030623,424,0,0.024765842,1.520097939,429,0,-0.950127828,0.196456074,-0.205902539,46911.25,0.06766881,0,47223,2.363236073,0.080404562,-4.868139174,0.980085497,5.932798622,0,2.527384182,0.119182409,-1.058949834,1.975427608,-9.343290138,-4.462528589,5.209169891,-0.935241539,-1.847030505,7,0,10,0,0,47313,-1.109405181,0.366649925,-7.52,2.753781888,-1.649076517,0.080251737,686286,-3.280191311,-2.541962857,42.892875,42886,10,46457,0.081729218,0,47289,0.080292433,0,0,5,0,0,0,0,0,0,0,10,0,46676,0,0,0.081346063,0,-11.11111111,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3.453428328,2.925882017,3.189655172
0.65,1.882352941,217293,24336,3.534048263,2139,2139,0,1.210441884,0,11.11111111,0.28,-2.042961609,0.27972028,2.57445032,0.87864008,0.773272162,10,0,-11.11111111,0,-0.43030623,417,0,0.023577799,1.540501938,423,0,-0.950127828,0.195824008,0.223061084,47062.66667,0.06766881,0,47223,2.363236073,0.080404562,-7.758160761,0.259502543,4.073205546,0,2.527384182,0.119182409,-1.058949834,1.975427608,-7.71408351,-4.462528589,5.209169891,-0.935241539,-1.847030505,8,2,10,0,2,47313,-1.109405181,0.366649925,-7.485714286,2.753781888,-1.649076517,0.080251737,686265,-3.280191311,-2.541962857,42.891562,42884,20,0,100,0,47289,0.080292433,0,2,4,10,0,0,0,0,0,0,0,20,46676,0,0,0.081346063,10,-11.11111111,27,2,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,2.970983131,2.251239091,2.611111111
0,0,228660,24403,3.288476963,2145,2145,0,1.210441884,0,-11.11111111,0,-2.042961609,0,2.57445032,2.46664754,0.751072961,10,0,-11.11111111,0,-0.43030623,425,0,0.024811198,1.520097939,430,0,-0.950127828,0.196456074,-0.205902539,46911.25,0.06766881,0,47223,2.363236073,0.080404562,-4.890300657,0.980085497,4.073205546,0,2.527384182,0.119182409,-1.058949834,1.975427608,-9.343290138,-4.462528589,5.209169891,-0.935241539,-1.847030505,8,0,10,0,0,47313,-1.109405181,0.366649925,-7.52,2.753781888,-1.649076517,0.080251737,686289,-3.280191311,-2.541962857,42.893062,42885,10,46457,0.081729218,0,47289,0.080292433,0,0,5,0,0,0,0,0,0,0,0,0,46676,0,0,0.081346063,0,-11.11111111,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3.799760206,3.165757036,3.482758621
0.84,1.176470588,226117,24211,3.288476963,2128,2128,10,1.490231664,2,-11.11111111,0.79,-2.015539305,0.792540793,2.57445032,2.505379429,0.751072961,10,0,-11.11111111,2,-0.43030623,420,10,0.024535265,1.520097939,425,0,-1.804861297,0.196456074,-0.186008574,46911.25,0.06766881,2,47223,2.363236073,0.080404562,-4.890300657,0.980085497,4.073205546,0,2.527384182,0.119182409,-1.029670115,1.975427608,-9.343290138,-4.430615393,5.209169891,-0.935241539,-1.847030505,8,2,10,0,2,47313,-1.109405181,0.366649925,-7.52,2.729448027,-1.649076517,0.080251737,686261,-1.053983437,-4.722087825,42.891312,42883,10,46457,0.081729218,0,47289,0.080292433,0,0,5,0,0,2,0,0,0,0,0,0,46676,0,0,0.081346063,0,-11.11111111,27,0,0,2,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,2,0,10,0,2.501572021,1.9811866,2.24137931
4.8,13.64705882,184147,23220,3.375615166,2041,2041,20,0.312737997,10,22.22222222,4.85,-2.015539305,4.848484848,3.898784674,4.318400721,3.869238485,10,10,22.22222222,10,-9.060567205,367,20,0.019981228,3.887447654,386,10,-2.401076048,0.194849677,0.200680374,47298,-2.264488375,4,0,2.375428476,100,-4.890300657,0.83874929,4.073205546,20,2.557531906,-0.589952923,-1.029670115,-2.543061913,-9.31693389,100,10.60998759,-0.907639723,-1.817556614,7,6,20,40,8,47313,-1.139121391,-2.439549401,-9.701587302,2.446566898,8.152545686,0.080251737,686294,-3.985651654,-0.878335628,42.893375,42887,20,0,100,14,47283,0.092970186,10,6,2,0,4,2,6,10,8,0,0,60,0,0,0,100,10,22.22222222,27,8,0,0,4,4,4,10,0,4,0,2,6,30,10,20,0,0,0,20,20,4,10,4,20,100,10,6,2,12,4,4,10,0,1.424230754,1.075769246,1.25
0.14,0.470588235,199467,24369,3.796584685,2142,2142,0,1.2956621,0,0,0.14,-2.280880227,0.13986014,2.140573349,5.116696589,1.550895588,10,0,-11.11111111,0,-0.367318733,423,0,0.021643555,1.391926824,428,0,-1.292209017,0.196456074,-0.0678724,46911.25,0.201083617,2,47223,2.07319701,0.080404562,-4.241257058,0.695116054,3.020534862,0,2.329959991,0.097973416,-0.991774109,0.824956672,-7.986772222,-4.920025592,4.877199094,-1.590996029,-1.312276317,8,0,10,0,0,47315,-1.782875312,0.423122765,-5.856033689,2.189199325,-0.189671523,0.080248348,686289,-3.194781698,-1.728994237,42.893062,42885,10,46457,0.081729218,0,47289,0.080292433,0,0,5,0,0,0,0,10,0,0,0,0,46676,0,0,0.081346063,0,-11.11111111,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,999,2.728559181,2.057155105,2.392857143
0.35,1.176470588,190412,24269,3.796584685,2133,2133,0,1.2956621,2,-11.11111111,0.56,2.072067248,0.559440559,2.140573349,2.171069505,1.550895588,10,0,11.11111111,0,-8.582952371,420,0,0.020661024,1.391926824,426,0,-1.292209017,0.196892225,-0.0678724,46807.33333,0.201083617,0,0,2.07319701,100,-4.241257058,0.695116054,3.029820652,0,2.329959991,-0.215232938,-0.991774109,0.824956672,-7.986772222,-4.920025592,4.877199094,-1.590996029,-1.131751532,8,0,10,0,0,47315,-1.782875312,0.423122765,-5.856033689,2.189199325,-0.189671523,0.080248348,686244,-3.194781698,-1.728994237,42.89025,42883,10,46457,0.081729218,0,47289,0.080292433,0,2,4,0,0,2,0,0,0,10,10,20,46676,10,0,0.081346063,0,-11.11111111,27,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,10,999,2.535804889,2.019750667,2.277777778
0,0,200346,24404,3.796584685,2145,2145,0,1.2956621,0,-11.11111111,0,-2.280880227,0,2.140573349,2.171069505,1.550895588,10,0,-11.11111111,0,-0.367318733,425,0,0.021738932,1.391926824,430,0,-1.292209017,0.196456074,-0.0678724,46911.25,0.201083617,0,47223,2.07319701,0.080404562,-4.241257058,0.695116054,3.020534862,0,2.329959991,-0.215232938,-0.991774109,0.824956672,-7.986772222,-4.920025592,4.877199094,-1.590996029,-1.312276317,8,0,10,0,0,47315,-1.782875312,0.423122765,-5.856033689,2.189199325,-0.189671523,0.080248348,686286,-3.194781698,-1.728994237,42.892875,42885,10,46457,0.081729218,0,47289,0.080292433,0,0,5,0,0,0,0,0,0,0,0,0,46676,0,0,0.081346063,0,-11.11111111,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,999,3.849214939,3.150785061,3.5
0.97,5.411764706,187733,24153,4.050167663,2123,2123,0,1.329908676,2,11.11111111,1.03,-2.280880227,1.025641026,2.140573349,0.354257502,1.550895588,10,0,-11.11111111,0,-0.367318733,402,0,0.020370334,3.864253994,421,0,-1.292209017,0.195824008,-0.0678724,47062.66667,0.201083617,0,47223,2.07319701,0.080404562,0.609367629,0.695116054,3.020534862,0,2.329959991,-0.215232938,-0.991774109,0.824956672,-1.34616027,-4.920025592,4.294644758,-1.590996029,-1.312276317,6,0,10,0,2,47315,-2.114719762,0.423122765,-5.856033689,2.189199325,-0.189671523,0.080248348,686288,-3.194781698,-1.728994237,42.893,42887,10,0,100,0,47289,0.080292433,2,0,4,10,0,2,0,0,0,0,0,20,46676,0,0,0.081346063,0,-11.11111111,27,0,10,2,2,0,0,0,0,2,10,0,4,10,0,0,4,2,0,10,0,2,10,2,0,0,0,0,0,4,0,2,10,999,2.728516741,2.054091954,2.391304348
4.57,17.88235294,169308,23186,3.796584685,2038,2038,0,2.2331621,8,-11.11111111,4.99,-4.10903488,4.988344988,2.3043528,2.171069505,1.975632251,10,0,-11.11111111,8,-0.367318733,349,20,0.018371094,1.415788427,394,10,-1.235615922,0.19675491,-0.0678724,46840,0.201083617,4,47223,2.017199143,0.080404562,2.262879153,0.767649903,1.571454155,10,2.329959991,100,-0.956770317,0.824956672,-11.63999955,100,4.929454799,-1.558669662,-1.81976557,8,4,20,80,4,47315,-1.816942993,-3.677847778,-5.856033689,2.72308686,1.112164842,0.080248348,686289,-6.603818502,1.877410409,42.893062,42886,10,46457,0.081729218,6,0,100,4,4,3,10,8,4,8,100,4,10,20,40,0,10,0,100,0,22.22222222,27,2,0,8,0,8,10,6,0,0,20,4,2,0,20,10,6,6,4,0,0,4,0,2,0,100,20,10,4,6,6,2,10,999,1.786571514,1.313428486,1.55
0,0,126333,24381,3.687521846,2143,2143,0,0.475580757,0,-11.11111111,0.09,-2.21310775,0.093240093,2.54649748,2.270091135,1.628459603,10,0,-11.11111111,0,0.372268908,425,0,0.013708008,1.339538394,430,0,-0.807527041,0.302213478,-0.294281397,30495,0.675135471,0,30632,2.705861201,0.123899576,-4.972799554,0.465838509,3.295972644,0,3.281762775,-0.69881202,-1.706387035,1.992219734,-9.200230624,-5.673316708,5.112417849,-1.518847198,-1.533546326,6,0,10,0,0,30982,-0.944444444,0.530335172,-7.014925373,2.615995802,0.27921262,0.122501612,686270,-3.872385571,-2.893221397,42.891875,42886,10,30441,0.124676006,0,30654,0.123810765,0,0,5,0,0,0,0,0,0,0,0,0,30253,0,0,0.125449804,0,-11.11111111,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,3.462234023,3.020524597,3.24137931
0.37,0.705882353,125419,24313,3.687521846,2137,2137,0,0.475580757,0,-11.11111111,0.37,-2.21310775,0.372960373,2.54649748,2.270091135,4.676482465,10,0,0,0,3.218487395,422,0,0.013608832,1.339538394,427,10,-0.807527041,0.302213478,-0.294281397,30495,0.675135471,0,30632,2.705861201,0.123899576,-4.972799554,0.465838509,3.295972644,0,3.281762775,-0.69881202,-1.706387035,1.992219734,-9.200230624,-5.673316708,5.112417849,-1.518847198,-1.533546326,4,0,10,0,4,30982,-0.944444444,0.530335172,-7.014925373,2.615995802,0.27921262,0.122501612,686267,-3.872385571,-2.893221397,42.891688,42887,10,30441,0.124676006,0,30654,0.123810765,0,2,5,0,0,0,0,0,2,0,0,0,30253,0,0,0.125449804,0,-11.11111111,31,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,10,0,3.432505962,2.867494038,3.15
0,0,126327,24404,3.687521846,2145,2145,0,0.475580757,0,-11.11111111,0,-2.21310775,0,2.54649748,2.270091135,1.628459603,10,0,-11.11111111,0,0.372268908,425,0,0.013707357,1.339538394,430,0,-0.807527041,0.302213478,-0.294281397,30495,0.675135471,0,30632,2.705861201,0.123899576,-4.972799554,0.465838509,3.295972644,0,3.281762775,-0.69881202,-1.706387035,1.992219734,-9.200230624,-5.673316708,5.112417849,-1.518847198,-1.533546326,4,0,10,0,0,30982,-0.944444444,0.530335172,-7.014925373,2.615995802,0.27921262,0.122501612,686266,-3.872385571,-2.893221397,42.891625,42888,10,30441,0.124676006,0,30654,0.123810765,0,0,5,0,0,0,0,0,0,0,0,0,30253,0,0,0.125449804,0,-11.11111111,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3.653463529,3.070674402,3.362068966
